ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,Age,Total_Spending,Total_Purchases,Total_Campaign_Responses,Customer_Segment,Income_Clean,Campaign_Engagement,Age_Group,Preferred_Channel,Total_Children,Household_Segment,Deal_Purchase_Ratio,Deal_Purchase_Rate,Web_Purchase_Visit_Ratio,Recency_Segment,Response_Status
4065,1976,PhD,Married,1,0,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,Spain,49544.0,38.0,404,14,0,Medium Value,49544.0,No Response,35-44,Store,1,One Child,0.14285714285714285,14.285714285714285,0.7142857142857143,0-30 Days,Non-Responder
10968,1969,Graduation,Single,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,India,57731.0,45.0,704,22,0,Medium Value,57731.0,No Response,45-54,Web,1,One Child,0.18181818181818182,18.181818181818183,1.3333333333333333,0-30 Days,Non-Responder
5985,1965,Master,Single,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,Spain,33168.0,49.0,122,7,0,Medium Value,33168.0,No Response,45-54,Store,1,One Child,0.42857142857142855,42.857142857142854,0.2857142857142857,0-30 Days,Non-Responder
5430,1956,Graduation,Together,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain,54450.0,58.0,684,19,0,Medium Value,54450.0,No Response,55-64,Web,2,Two or More Children,0.631578947368421,63.1578947368421,1.125,0-30 Days,Non-Responder
8432,1956,Graduation,Together,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain,54450.0,58.0,684,19,0,Medium Value,54450.0,No Response,55-64,Web,2,Two or More Children,0.631578947368421,63.1578947368421,1.125,0-30 Days,Non-Responder
453,1956,PhD,Widow,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,Spain,35340.0,58.0,45,5,0,Low Value,35340.0,No Response,55-64,Store,2,Two or More Children,0.4,40.0,0.4,0-30 Days,Non-Responder
9687,1975,Graduation,Single,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,Canada,73170.0,39.0,726,15,0,Medium Value,73170.0,No Response,35-44,Store,0,No Children,0.06666666666666667,6.666666666666667,2.5,0-30 Days,Non-Responder
8890,1971,PhD,Divorced,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,Spain,65808.0,43.0,272,11,0,Medium Value,65808.0,No Response,35-44,Web,2,Two or More Children,0.2727272727272727,27.27272727272727,0.8333333333333334,0-30 Days,Non-Responder
9264,1986,Graduation,Married,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,Canada,79529.0,28.0,1638,21,0,High Value,79529.0,No Response,25-34,Store,0,No Children,0.047619047619047616,4.761904761904762,2.0,0-30 Days,Non-Responder
5824,1972,PhD,Together,2,1,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,Australia,34578.0,42.0,8,3,0,Low Value,34578.0,No Response,35-44,Store,3,Two or More Children,0.3333333333333333,33.33333333333333,0.16666666666666666,0-30 Days,Non-Responder
5794,1974,PhD,Married,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,India,46374.0,40.0,446,15,2,Medium Value,46374.0,Medium Engagement,35-44,Web,1,One Child,0.2,20.0,0.875,0-30 Days,Responder
3068,1990,Graduation,Married,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,Spain,18351.0,24.0,43,5,0,Low Value,18351.0,No Response,Under 25,Store,0,No Children,0.2,20.0,0.2857142857142857,0-30 Days,Non-Responder
7962,1987,PhD,Single,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain,95169.0,27.0,1901,11,2,High Value,95169.0,Medium Engagement,25-34,Web,0,No Children,0.09090909090909091,9.090909090909092,4.0,0-30 Days,Responder
2681,1984,2n Cycle,Married,0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,Spain,65370.0,30.0,461,18,0,Medium Value,65370.0,No Response,25-34,Store,0,No Children,0.05555555555555555,5.555555555555555,2.0,0-30 Days,Non-Responder
10141,1960,Master,Divorced,0,0,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,Saudi Arabia,39228.0,54.0,20,3,0,Low Value,39228.0,No Response,45-54,Store,0,No Children,0.3333333333333333,33.33333333333333,0.0,0-30 Days,Non-Responder
3725,1961,PhD,Single,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain,84865.0,53.0,1688,15,4,High Value,84865.0,High Engagement,45-54,Store,0,No Children,0.06666666666666667,6.666666666666667,0.5,0-30 Days,Responder
3767,1968,Graduation,Married,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,Spain,61314.0,46.0,1008,22,0,High Value,61314.0,No Response,45-54,Store,1,One Child,0.09090909090909091,9.090909090909092,1.6666666666666667,0-30 Days,Non-Responder
5585,1972,Graduation,Single,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,Canada,21359.0,42.0,48,5,0,Low Value,21359.0,No Response,35-44,Store,1,One Child,0.4,40.0,0.25,0-30 Days,Responder
7030,1955,PhD,Married,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,Spain,66465.0,59.0,1485,32,1,High Value,66465.0,Low Engagement,55-64,Store,1,One Child,0.09375,9.375,1.8333333333333333,0-30 Days,Non-Responder
1524,1983,2n Cycle,Single,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,Spain,81698.0,31.0,1104,15,1,High Value,81698.0,Low Engagement,25-34,Web,0,No Children,0.06666666666666667,6.666666666666667,1.6,0-30 Days,Responder
3657,1986,Graduation,Single,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,Spain,39146.0,28.0,165,8,0,Medium Value,39146.0,No Response,25-34,Web,1,One Child,0.375,37.5,0.5,0-30 Days,Non-Responder
5740,1970,2n Cycle,Divorced,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,Spain,25959.0,44.0,56,5,0,Low Value,25959.0,No Response,35-44,Catalog,2,Two or More Children,0.4,40.0,0.16666666666666666,0-30 Days,Responder
9595,1961,Graduation,Together,0,0,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,Spain,64260.0,53.0,1574,13,0,High Value,64260.0,No Response,45-54,Catalog,0,No Children,0.07692307692307693,7.6923076923076925,1.3333333333333333,0-30 Days,Responder
3158,1973,Graduation,Married,1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,Spain,32300.0,41.0,39,4,0,Low Value,32300.0,No Response,35-44,Store,1,One Child,0.25,25.0,0.125,0-30 Days,Non-Responder
5114,1965,Master,Married,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Australia,74806.0,49.0,965,14,0,High Value,74806.0,No Response,45-54,Web,1,One Child,0.14285714285714285,14.285714285714285,1.25,0-30 Days,Non-Responder
340,1970,Graduation,Divorced,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,Germany,72967.0,44.0,497,17,1,Medium Value,72967.0,Low Engagement,35-44,Store,1,One Child,0.11764705882352941,11.76470588235294,1.4,0-30 Days,Responder
8805,1960,Graduation,Single,0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,USA,48904.0,54.0,371,13,0,Medium Value,48904.0,No Response,45-54,Web,1,One Child,0.3076923076923077,30.76923076923077,0.875,0-30 Days,Non-Responder
1241,1984,2n Cycle,Married,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,Germany,14796.0,30.0,51,4,0,Low Value,14796.0,No Response,25-34,Store,1,One Child,0.5,50.0,0.1111111111111111,0-30 Days,Responder
1402,1954,Master,Married,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Germany,66991.0,60.0,1253,18,0,High Value,66991.0,No Response,55-64,Catalog,0,No Children,0.16666666666666666,16.666666666666664,1.3333333333333333,0-30 Days,Non-Responder
7264,1978,2n Cycle,Single,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,Saudi Arabia,52195.0,36.0,17,3,0,Low Value,52195.0,No Response,35-44,Store,3,Two or More Children,0.3333333333333333,33.33333333333333,0.125,0-30 Days,Non-Responder
1619,1956,Graduation,Married,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain,90369.0,58.0,1588,16,0,High Value,90369.0,No Response,55-64,Catalog,0,No Children,0.0625,6.25,4.0,0-30 Days,Responder
6398,1974,Basic,Married,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,Spain,18393.0,40.0,50,6,0,Low Value,18393.0,No Response,35-44,Web,1,One Child,0.3333333333333333,33.33333333333333,0.375,0-30 Days,Non-Responder
1857,1952,Graduation,Single,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,Spain,47139.0,62.0,83,5,0,Low Value,47139.0,No Response,55-64,Web,2,Two or More Children,0.4,40.0,0.2857142857142857,0-30 Days,Responder
4877,1973,Master,Married,0,1,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,India,38576.0,41.0,41,4,0,Low Value,38576.0,No Response,35-44,Store,1,One Child,0.25,25.0,0.14285714285714285,0-30 Days,Non-Responder
3066,1975,PhD,Together,0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,Saudi Arabia,61905.0,39.0,231,10,0,Medium Value,61905.0,No Response,35-44,Web,1,One Child,0.2,20.0,0.8,0-30 Days,Non-Responder
10286,1962,Graduation,Married,0,0,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia,83715.0,52.0,926,23,0,High Value,83715.0,No Response,45-54,Store,0,No Children,0.043478260869565216,4.3478260869565215,,0-30 Days,Non-Responder
1992,1964,Graduation,Married,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,Spain,60597.0,50.0,893,12,1,High Value,60597.0,Low Engagement,45-54,Store,1,One Child,0.3333333333333333,33.33333333333333,0.2857142857142857,0-30 Days,Responder
4246,1982,Master,Single,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,Spain,6560.0,32.0,373,2,0,Medium Value,6560.0,No Response,25-34,Web,0,No Children,0.0,0.0,0.058823529411764705,0-30 Days,Non-Responder
10623,1961,Master,Together,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,Spain,48330.0,53.0,32,4,0,Low Value,48330.0,No Response,45-54,Store,1,One Child,0.25,25.0,0.2,0-30 Days,Non-Responder
4867,1968,PhD,Single,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,Spain,38236.0,46.0,88,7,0,Low Value,38236.0,No Response,45-54,Store,2,Two or More Children,0.5714285714285714,57.14285714285714,0.42857142857142855,0-30 Days,Non-Responder
3112,1977,Master,Married,1,0,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,Spain,22701.0,37.0,24,4,0,Low Value,22701.0,No Response,35-44,Store,1,One Child,0.25,25.0,0.2,0-30 Days,Non-Responder
4865,1974,Master,Divorced,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,Australia,53367.0,40.0,400,14,0,Medium Value,53367.0,No Response,35-44,Store,2,Two or More Children,0.5,50.0,0.7142857142857143,0-30 Days,Responder
6287,1986,Graduation,Together,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,Spain,34728.0,28.0,36,4,0,Low Value,34728.0,No Response,25-34,Store,1,One Child,0.25,25.0,0.16666666666666666,0-30 Days,Responder
4405,1956,Master,Married,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,Australia,63915.0,58.0,789,21,0,Medium Value,63915.0,No Response,55-64,Store,2,Two or More Children,0.09523809523809523,9.523809523809524,1.2,0-30 Days,Non-Responder
5332,1960,2n Cycle,Married,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,India,82504.0,54.0,1066,16,0,High Value,82504.0,No Response,45-54,Store,0,No Children,0.0625,6.25,3.0,0-30 Days,Non-Responder
1519,1972,PhD,Single,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,Spain,38578.0,42.0,73,6,0,Low Value,38578.0,No Response,35-44,Web,2,Two or More Children,0.5,50.0,0.375,0-30 Days,Responder
9080,1972,PhD,Single,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,Spain,38578.0,42.0,73,6,0,Low Value,38578.0,No Response,35-44,Web,2,Two or More Children,0.5,50.0,0.375,0-30 Days,Non-Responder
1772,1975,PhD,Married,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,Canada,79174.0,39.0,2043,18,2,High Value,79174.0,Medium Engagement,35-44,Store,0,No Children,0.05555555555555555,5.555555555555555,2.5,0-30 Days,Responder
5341,1962,2n Cycle,Divorced,0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,Saudi Arabia,81975.0,52.0,1588,13,1,High Value,81975.0,Low Engagement,45-54,Web,1,One Child,0.07692307692307693,7.6923076923076925,0.8571428571428571,0-30 Days,Non-Responder
5510,1977,Master,Married,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,Spain,43263.0,37.0,441,13,0,Medium Value,43263.0,No Response,35-44,Store,1,One Child,0.23076923076923078,23.076923076923077,1.0,0-30 Days,Non-Responder
3887,1970,Graduation,Single,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,India,27242.0,44.0,106,5,0,Low Value,27242.0,No Response,35-44,Store,1,One Child,0.4,40.0,0.2222222222222222,0-30 Days,Responder
7022,1971,Graduation,Married,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,Saudi Arabia,76445.0,43.0,1410,20,0,High Value,76445.0,No Response,35-44,Store,1,One Child,0.05,5.0,0.3333333333333333,0-30 Days,Non-Responder
9999,1965,Graduation,Together,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,Spain,75276.0,49.0,1040,22,0,High Value,75276.0,No Response,45-54,Web,0,No Children,0.045454545454545456,4.545454545454546,1.8,0-30 Days,Non-Responder
10352,1963,Graduation,Widow,1,1,2012-09-07,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,Saudi Arabia,34213.0,51.0,117,6,0,Medium Value,34213.0,No Response,45-54,Web,2,Two or More Children,0.5,50.0,0.3333333333333333,0-30 Days,Responder
7919,1976,PhD,Together,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,Spain,72335.0,38.0,2092,22,0,High Value,72335.0,No Response,35-44,Web,0,No Children,0.045454545454545456,4.545454545454546,1.25,0-30 Days,Responder
4114,1964,Master,Married,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Australia,79143.0,50.0,1693,28,0,High Value,79143.0,No Response,45-54,Store,0,No Children,0.03571428571428571,3.571428571428571,2.0,0-30 Days,Non-Responder
7990,1947,Graduation,Married,0,0,2012-08-02,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,Canada,27469.0,67.0,17,3,0,Low Value,27469.0,No Response,65+,Store,0,No Children,0.3333333333333333,33.33333333333333,0.0,0-30 Days,Non-Responder
9888,1969,Graduation,Together,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Spain,68695.0,45.0,1091,15,0,High Value,68695.0,No Response,45-54,Store,0,No Children,0.06666666666666667,6.666666666666667,2.0,0-30 Days,Non-Responder
4399,1969,Graduation,Together,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Canada,68695.0,45.0,1091,15,0,High Value,68695.0,No Response,45-54,Store,0,No Children,0.06666666666666667,6.666666666666667,2.0,0-30 Days,Non-Responder
4452,1957,Graduation,Single,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,Germany,50388.0,57.0,372,13,2,Medium Value,50388.0,Medium Engagement,55-64,Web,1,One Child,0.3076923076923077,30.76923076923077,0.8571428571428571,0-30 Days,Responder
4785,1970,PhD,Together,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,Saudi Arabia,77622.0,44.0,714,20,0,Medium Value,77622.0,No Response,35-44,Store,2,Two or More Children,0.1,10.0,2.0,0-30 Days,Non-Responder
8461,1962,Graduation,Divorced,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain,46102.0,52.0,16,3,0,Low Value,46102.0,No Response,45-54,Store,3,Two or More Children,0.3333333333333333,33.33333333333333,0.14285714285714285,0-30 Days,Non-Responder
3878,1980,2n Cycle,Single,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,Spain,31859.0,34.0,48,4,0,Low Value,31859.0,No Response,25-34,Store,1,One Child,0.25,25.0,0.14285714285714285,0-30 Days,Non-Responder
9612,1987,2n Cycle,Single,0,0,2014-02-07,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,Spain,23830.0,27.0,43,4,0,Low Value,23830.0,No Response,25-34,Store,0,No Children,0.25,25.0,0.14285714285714285,0-30 Days,Non-Responder
4098,1973,Graduation,Married,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,Australia,24639.0,41.0,44,6,0,Low Value,24639.0,No Response,35-44,Store,2,Two or More Children,0.5,50.0,0.3333333333333333,0-30 Days,Non-Responder
158,1945,PhD,Together,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,Spain,71604.0,69.0,1196,16,1,High Value,71604.0,Low Engagement,65+,Web,0,No Children,0.0625,6.25,2.0,0-30 Days,Responder
3896,1984,Graduation,Married,1,0,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,Spain,27255.0,30.0,37,4,0,Low Value,27255.0,No Response,25-34,Store,1,One Child,0.25,25.0,0.14285714285714285,0-30 Days,Non-Responder
9970,1977,Graduation,Together,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Canada,55375.0,37.0,162,8,0,Medium Value,55375.0,No Response,35-44,Store,1,One Child,0.125,12.5,0.5,0-30 Days,Non-Responder
4002,1960,PhD,Married,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,Spain,77037.0,54.0,1123,26,0,High Value,77037.0,No Response,45-54,Store,1,One Child,0.038461538461538464,3.8461538461538463,2.3333333333333335,0-30 Days,Non-Responder
10914,1970,Graduation,Single,1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,Spain,24163.0,44.0,17,4,0,Low Value,24163.0,No Response,35-44,Store,2,Two or More Children,0.5,50.0,0.25,0-30 Days,Non-Responder
